"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey"
"C1,C2,C3","1mF (EL)","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvk.pdf","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","3","","https://www.digikey.com/en/products/detail/nichicon/UVK1H102MHD1TO/4328772"
"C4","10n (C0G)","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1885C1H103JA01-01.pdf","Capacitor_SMD:C_0603_1608Metric","1","","https://www.digikey.com/en/products/detail/murata-electronics/GRM1885C1H103JA01D/4421555"
"C5","10u (EL)","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","","https://www.digikey.com/en/products/detail/nichicon/UVR1H100MDD/588844"
"C6","22u (EL)","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvk.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","","https://www.digikey.com/en/products/detail/nichicon/UVK1H220MDD1TD/4328773"
"D1,D2","1N4148W","https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf","Diode_SMD:D_SOD-323","2","","https://www.digikey.com/en/products/detail/micro-commercial-co/1N4148WX-TP/717197"
"D3","RED","~","LED_THT:LED_D5.0mm","1","",""
"J1,J2","282834-2","https://www.te.com/usa-en/product-282834-2.datasheet.pdf","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","2","","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/282834-2/1150135"
"R1","10R","https://www.vishay.com/docs/28731/pacserie.pdf","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal","1","","https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/PAC300001009FAC000/595122"
"R2","240R (TnF)","https://www.vishay.com/docs/28758/tnpw_e3.pdf","Capacitor_SMD:C_0603_1608Metric","1","","https://www.digikey.com/en/products/detail/vishay-dale/TNPW0603240RBEEA/1606694"
"R3","2.2k (TkF)","https://www.vishay.com/docs/20035/dcrcwe3.pdf","Resistor_SMD:R_1210_3225Metric","1","","https://www.digikey.com/en/products/detail/vishay-dale/CRCW12102K20JNEA/1177182"
"RV1","4.7k","https://www.bourns.com/docs/Product-Datasheets/3386.pdf","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","1","","https://www.digikey.com/en/products/detail/bourns-inc/3386P-1-472LF/2537240"
"U1","LM317_TO-220","https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/a0/db/e6/9b/6f/9c/45/7b/CD00000455/files/CD00000455.pdf/jcr:content/translations/en.CD00000455.pdf","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1","","https://www.digikey.com/en/products/detail/stmicroelectronics/LM317T/591677"
