Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CP_Radial_D12.5mm_P5.00mm,3,1mF (EL),
C4,0603,1,10n (C0G),
C5,CP_Radial_D5.0mm_P2.00mm,1,10u (EL),
C6,CP_Radial_D5.0mm_P2.50mm,1,22u (EL),
"D1, D2",D_SOD-323,2,1N4148W,
D3,LED_D5.0mm,1,RED,
"J1, J2",TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,2,282834-2,
R1,R_Axial_DIN0617_L17.0mm_D6.0mm_P30.48mm_Horizontal,1,10R,
R2,0603,1,240R (TnF),
R3,1210,1,2.2k (TkF),
RV1,Potentiometer_Bourns_3386P_Vertical,1,4.7k,
U1,TO-220-3_Horizontal_TabDown,1,LM317_TO-220,
